"rules","support","confidence","coverage","lift","count"
"1","{} => {ChildBks}",0.394,0.394,1,1,1576
"2","{} => {CookBks}",0.4155,0.4155,1,1,1662
"3","{ItalAtlas} => {ItalCook}",0.0115,0.353846153846154,0.0325,3.29159212880143,46
"4","{ItalAtlas} => {ArtBks}",0.01,0.307692307692308,0.0325,1.37978613314936,40
"5","{ItalAtlas} => {RefBks}",0.022,0.676923076923077,0.0325,3.30609561378792,88
"6","{ItalAtlas} => {YouthBks}",0.0175,0.538461538461538,0.0325,2.26006941641779,70
"7","{ItalAtlas} => {GeogBks}",0.0155,0.476923076923077,0.0325,1.78790281883065,62
"8","{ItalAtlas} => {DoItYBks}",0.0175,0.538461538461538,0.0325,2.11368611761153,70
"9","{ItalAtlas} => {ChildBks}",0.02475,0.761538461538461,0.0325,1.93283873486919,99
"10","{ItalAtlas} => {CookBks}",0.0275,0.846153846153846,0.0325,2.03647135055077,110
"11","{ItalArt} => {ItalCook}",0.0165,0.38150289017341,0.04325,3.54886409463638,66
"12","{ItalArt} => {ArtBks}",0.022,0.508670520231214,0.04325,2.28103372300993,88
"13","{ItalArt} => {RefBks}",0.01875,0.433526011560694,0.04325,2.11734315780559,75
"14","{ItalArt} => {YouthBks}",0.0215,0.497109826589595,0.04325,2.08650504339809,86
"15","{ItalArt} => {GeogBks}",0.01975,0.456647398843931,0.04325,1.71189277917125,79
"16","{ItalArt} => {DoItYBks}",0.025,0.578034682080925,0.04325,2.26902721130883,100
"17","{ItalArt} => {ChildBks}",0.03175,0.734104046242775,0.04325,1.86320823919486,127
"18","{ItalArt} => {CookBks}",0.03175,0.734104046242775,0.04325,1.76679674185987,127
"19","{Florence} => {ArtBks}",0.02875,0.340236686390533,0.0845,1.52572505107862,115
"20","{Florence} => {GeogBks}",0.03075,0.363905325443787,0.0845,1.36421865208542,123
"21","{Florence} => {ChildBks}",0.03875,0.458579881656805,0.0845,1.16390832907818,155
"22","{Florence} => {CookBks}",0.03475,0.411242603550296,0.0845,0.989753558484466,139
"23","{ItalCook} => {ArtBks}",0.03425,0.318604651162791,0.1075,1.42872040880175,137
